Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Matlock Robin,Director,2022-01-04,Option Exercise,0.0,841,0,"16,451",Apr 11 09:27 PM
Baker-Greene Edward,"EVP, CHRO",2022-01-04,Option Exercise,0.0,"8,722",0,"8,722",Jan 06 04:34 PM
Hytinen Barry,EVP and CFO,2022-01-03,Option Exercise,0.0,"32,884",0,"41,125",Jan 05 09:35 PM
Evens Deirdre,"EVP & GM, Rec and Info Mgmt NA",2021-12-28,Option Exercise,31.36,"32,087","1,006,248","89,290",Dec 29 04:12 PM
Evens Deirdre,"EVP & GM, Rec and Info Mgmt NA",2021-12-28,Sale,52.61,"32,087","1,688,033","57,203",Dec 29 04:12 PM
Tomovcsik John,"EVP, Chief Operating Officer",2021-12-27,Option Exercise,37.0,"31,919","1,181,003","72,572",Dec 29 04:14 PM
Tomovcsik John,"EVP, Chief Operating Officer",2021-12-27,Sale,52.06,"31,919","1,661,737","40,653",Dec 29 04:14 PM
Tomovcsik John,"EVP, Chief Operating Officer",2021-12-16,Option Exercise,35.72,"23,716","847,136","64,369",Dec 20 09:04 PM
Evens Deirdre,"EVP & GM, Rec and Info Mgmt NA",2021-12-16,Option Exercise,29.27,"39,441","1,154,438","96,644",Dec 20 09:06 PM
Evens Deirdre,"EVP & GM, Rec and Info Mgmt NA",2021-12-16,Sale,50.48,"39,441","1,990,784","57,203",Dec 20 09:06 PM
Tomovcsik John,"EVP, Chief Operating Officer",2021-12-16,Sale,50.72,"23,716","1,202,876","40,653",Dec 20 09:04 PM
MARSON DEBORAH,"EVP, General Counsel, Sec.",2021-12-15,Sale,48.41,500,"24,205","39,441",Dec 17 08:26 PM
MARSON DEBORAH,"EVP, General Counsel, Sec.",2021-11-17,Sale,47.53,500,"23,765","39,941",Nov 18 05:45 PM
MARSON DEBORAH,"EVP, General Counsel, Sec.",2021-10-29,Sale,46.38,517,"23,978","40,441",Nov 01 05:08 PM
MARSON DEBORAH,"EVP, General Counsel, Sec.",2021-09-15,Sale,45.59,499,"22,749","40,958",Sep 17 04:37 PM
Borges Daniel,SVP & Chief Accounting Officer,2021-09-09,Option Exercise,35.72,"1,860","66,439","1,860",Sep 10 05:19 PM
Borges Daniel,SVP & Chief Accounting Officer,2021-09-09,Sale,48.2,"1,860","89,652",0,Sep 10 05:19 PM
Tomovcsik John,"EVP, Chief Operating Officer",2021-09-02,Option Exercise,33.72,"29,037","979,128","69,494",Sep 07 05:09 PM
Tomovcsik John,"EVP, Chief Operating Officer",2021-09-02,Sale,48.72,"29,037","1,414,683","40,457",Sep 07 05:09 PM
MARSON DEBORAH,"EVP, General Counsel, Sec.",2021-08-11,Sale,46.13,600,"27,678","41,457",Aug 12 08:41 PM
MARSON DEBORAH,"EVP, General Counsel, Sec.",2021-07-14,Sale,44.0,600,"26,400","42,057",Jul 15 05:17 PM
