Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-08,Buy,4.75,"122,883","583,633","3,745,949",Aug 10 06:15 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-05,Buy,4.76,"125,673","597,977","3,623,066",Aug 08 04:47 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-04,Buy,4.77,"1,769,865","8,442,256","3,497,393",Aug 08 04:47 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-03,Buy,12.70,"1,968,504","25,000,000","3,938,559",Aug 05 01:45 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-02,Buy,4.69,"107,311","503,696","1,727,528",Aug 03 09:37 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-08-01,Buy,4.69,"98,239","460,387","1,620,217",Aug 03 09:37 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-29,Buy,12.69,"1,713,948","21,750,000","15,793,635",Aug 02 09:53 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-29,Buy,4.59,"88,884","408,084","1,521,978",Aug 01 09:10 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-28,Buy,4.46,"89,977","401,540","1,433,094",Aug 01 09:10 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-27,Buy,4.4,"127,186","559,084","1,343,117",Jul 28 12:17 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-26,Buy,4.37,"124,934","545,624","1,215,931",Jul 28 12:17 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-25,Buy,12.69,"1,970,055","25,000,000","1,970,055",Jul 29 12:10 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-25,Buy,4.4,"79,523","350,187","1,090,997",Jul 26 10:25 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-22,Buy,4.46,"113,726","507,605","1,011,474",Jul 26 10:25 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-21,Buy,4.44,"57,887","257,180","897,748",Jul 22 09:18 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-20,Buy,4.43,"108,467","480,162","839,861",Jul 22 09:18 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-19,Buy,4.38,"115,154","504,282","731,394",Jul 20 09:03 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-18,Buy,4.4,"121,568","535,009","616,240",Jul 20 09:03 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-15,Buy,4.35,"56,500","245,713","494,672",Jul 18 09:11 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-14,Buy,4.43,"56,500","250,368","438,172",Jul 18 09:11 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-13,Buy,4.37,"54,595","238,777","381,672",Jul 14 07:54 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-12,Buy,4.33,"55,953","242,545","327,077",Jul 14 07:54 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-11,Buy,4.32,"56,123","242,367","271,124",Jul 12 08:33 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-08,Buy,4.42,"37,163","164,201","215,001",Jul 12 08:33 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-07,Buy,4.43,"41,926","185,640","177,838",Jul 08 09:25 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-06,Buy,4.48,"42,746","191,609","135,912",Jul 08 09:25 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-05,Buy,4.51,"36,266","163,578","93,166",Jul 06 07:02 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-07-01,Buy,4.45,"56,900","253,444","56,900",Jul 06 07:02 PM
Byerwalter Mariann H,Director,2022-06-15,Sale,23.37,"3,135","73,265","11,523",Jun 16 01:42 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-04-01,Buy,12.27,"998,370","12,250,000","14,079,687",Apr 05 09:42 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-03-11,Buy,12.27,"668,297","8,200,000","13,081,317",Mar 15 09:45 AM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2022-02-18,Buy,12.2,"1,098,361","13,400,000","12,413,020",Feb 23 04:31 PM
Shaneyfelt Gwen L,Chief Accounting Officer,2021-11-16,Sale,35.82,"10,000","358,246","61,079",Nov 16 04:37 PM
Plafker Jed A.,Executive Vice President,2021-11-05,Sale,35.86,"21,705","778,363","111,607",Nov 08 03:57 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2021-09-30,Buy,11.93,"3,604,359","43,000,000","11,262,556",Oct 01 04:41 PM
JOHNSON JENNIFER M,President and CEO,2021-08-19,Sale,30.37,"52,789","1,603,202","1,897,836",Aug 19 07:13 PM
Shaneyfelt Gwen L,Chief Accounting Officer,2021-08-11,Sale,33.51,"5,000","167,550","59,070",Aug 11 03:11 PM
FRANKLIN RESOURCES INC,Affiliate of Investment Adv.,2021-08-09,Buy,10.86,"460,405","5,000,000","7,658,197",Aug 11 09:24 AM
